"Character H-ID","Family name","Given name(s)",Nickname,"Page First Mentioned",Gender,Number,Religion,"Religious attribution","Religious conversion",Vitality,"Cause of death",Non-human,"Country of birth"
90,Ali,Akran,,114,Female,Single,Muslim,"Other-identified.Character other-attributed",,,,,
91,Ali,Ramzan,,116,Male,Single,Muslim,Nominal,,,,,
93,Ali,Rajo,,114,Female,Single,Muslim,Self-identified,,,,,
96,Ali,Ehsan,,116,Male,Single,Muslim,Nominal,,,,,
110,Lal,"Lala Ram",,7,Male,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,
112,Singh,Juggut,,9,Male,Single,Sikh,Speculation,,,,,
118,Nooran,Unknown,,9,Female,Single,Muslim,"Other-identified.Character other-attributed",,,,,
120,Chand,Hukum,,15,Male,Single,Hindu,Speculation,,,,,
122,Singh,Alam,,17,Male,Single,Sikh,Nominal,,,,,
129,Malli,Unknown,,13,Male,Group.Male-dominant,Sikh,,,,,,
130,Labhram,Hakim,,58,Male,Single,Muslim,Nominal,,,,,
132,Ram,Sant,,58,Male,Single,Hindu,Nominal,,,,,
133,Bakhsh,Khuda,,58,Male,Single,Muslim,Nominal,,,,,
134,"Perfume Seller",Ibrahim,,58,Male,Single,Muslim,Nominal,,,,,
136,"Relief Committee","Statistics Babu",,137,Male,Single,Hindu,Speculation,,,,,
139,Singh,Kartar,,137,Male,Single,Sikh,Nominal,,,,,
141,Singh,Harnam,,99,Male,Single,Sikh,Nominal,,,,,
143,"Refugee 1",Unknown,,138,Male,Single,Sikh,Nominal,,,,,
146,Dutt,Dev,,140,Male,Single,Hindu,Nominal,,,,,
148,Singh,Teja,,125,Male,Single,Sikh,Nominal,,,,,
149,Sikh,Nihang,,125,Male,Single,Sikh,Nominal,,,,,
150,Singh,Sohan,,108,Male,Single,Sikh,Nominal,,,,,
151,Rasool,"Sheik Gulam",,125,Male,Single,Muslim,Nominal,,,,,
152,Chaprasi,Unknown,,125,Male,Single,Unknown,,,,,,
164,Dad,Mir,,125,Male,Single,Muslim,Nominal,,,,,
167,"Deputy Commissioner",Richard,,27,Male,Single,Christian,Speculation,,,,,
168,"Chaprasi's wife",Unknown,,125,Female,Single,Unknown,,,,,,
169,"Richard's wife",Liza,,27,Female,Single,Christian,Speculation,,,,,
178,"The Sanskrit-knowing Brahman in the congregation",Vanaprasthi,,41,Male,Single,Hindu,Definitional,,,,,India
185,"Servant to Murad Ali",Nathu,,13,Male,Single,Unknown,,,,,,
186,Deen,Noor,,121,Male,Single,Muslim,Nominal,,,,,
189,Headman,Unknown,,125,Male,Single,Unknown,,,,,,
191,"Village women",Unknown,,58,Female,Group,Muslim,Definitional,,,,,
205,Sweet-Seller,Kubra,,58,Male,Single,Unknown,,,,,,
209,"Deen, Richard & Liza's cook",Roshan,,29,Male,Single,Muslim,"Other-identified.Character other-attributed",,,,,
217,"Bakhsh Brother 1",Unknown,,58,Male,Single,Muslim,Nominal,,,,,
218,"Richard's secretary","The secretary",,29,Male,Single,Hindu,"Other-identified.Character other-attributed",,,,,
219,"Committee Manager, Servant to Vet Sahib","Murad Ali",,13,Male,Single,Unknown,,,,,,
220,"Richard's driver","The driver Singh",,29,Male,Single,Sikh,"Other-identified.Character other-attributed",,,,,
225,"Group of muslim men with Ramzan",Unknown,,121,Male,Group.Male-dominant,Muslim,Definitional,,,,,
227,"Asked for the dead pig","Vet Sahib",,13,Male,Single,Unknown,,,,,,
228,"Bakhsh Brother 2",Unknown,,58,Male,Single,Muslim,Nominal,,,,,
229,"Nathu's friend","Bhikhru Chamar",,13,Male,Single,Unknown,,,,,,
230,Refugee,"Unknown 2",,139,Male,Single,Sikh,Nominal,,,,,
237,"Municipal Comittee Worker",Unknown,,58,Male,Single,Unknown,,,,,,
238,Congregation,People,,41,Unknown,Group,Hindu,Definitional,,,,,India
248,Sahukars,Pooro,,1,Female,Single,Hindu,"Other-identified.Narrator other-attributed","Hindu to Muslim",,,,Pakistan
251,Sauhakar,Mohanlal,,1,Male,Single,Hindu,Nominal,,,,,Pakistan
253,Sahukars,"Unknown 1",,1,Male,Single,Hindu,Nominal,,,,,Pakistan
256,Sahukars,Tara,,1,Female,Single,Hindu,Nominal,,,,,
258,Sahukars,"Unknown 2",,2,Male,Single,Hindu,Nominal,,,,,Pakistan
261,Sahukars,"Unknown 3",,2,Female,Group.Female-dominant,Hindu,Nominal,,,,,
266,Sahukars,"Unknown 4",,2,Female,Group.Female-dominant,Hindu,Nominal,,,,,
271,Sahukars,"Unknown 5",,2,Female,Group.Female-dominant,Hindu,Nominal,,,,,
276,Sahukars,"Unknown 5",,2,Female,Group.Female-dominant,Hindu,Nominal,,,,,
282,Chand,Ram,,2,Male,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,Pakistan
285,Chand,"Unknown 6",,2,Male,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,
289,Chand,"Unknown 7",,2,Female,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,
293,"Village Women",Unkown,,2,Unknown,Group.Female-dominant,Unknown,,,,,,
297,Shaikh,Rashida,,4,Male,Single,Muslim,"Other-identified.Narrator other-attributed",,,,,
299,Girls,Unkown,,3,Female,Group.Female-dominant,Hindu,Speculation,,,,,
301,Holy,Mother,,3,Female,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,
310,Hasan,"Syed Mohammad",,14,Male,Single,Muslim,,,,,,
315,Hasan,Abida,,14,Female,Single,Muslim,,,,,,
316,Hasan,Majida,,14,Female,Single,Muslim,,,,,,
317,Hasan,Laila,,14,Female,Single,Muslim,,,,,,
318,Hasan,Zahra,,14,Female,Single,Muslim,,,,,,
319,Unknown,Hakiman,,14,Female,Single,Muslim,Speculation,,,,,
321,Hasan,Hamid,,84,Male,Single,Muslim,Self-identified,,,,,
325,Agarwal,Sita,,16,Female,Single,Hindu,Speculation,,,,,India
326,Unknown,Musa,,18,Male,Single,Muslim,Self-identified,,,,,India
327,Unknown,Mohsin,,18,Male,Single,Muslim,,,,,,India
341,Viceroy,Unknown,,156,Male,Single,Christian,Speculation,,,,,
343,Unknown,Jumman,,26,Male,Single,Hindu,,,,,,India
344,Unknown,Nandi,,26,Female,Single,Hindu,,,,,,India
347,Unknown,Maulvi,,11,Male,Single,Muslim,Definitional,,,,,
349,Unknown,"Jumman's wife",,26,Female,Single,Hindu,Speculation,,,,,India
353,Unknown,Rahima,,16,Male,Single,Muslim,Speculation,,,,,
354,Unknown,"Women of Rahima's household",,16,Female,Group,Muslim,Speculation,,,,,
359,Unknown,Stranger,,16,Male,Single,Unknown,,,,,,
363,Unknown,"Baisakh crowd",,18,Unknown,Group,Hindu,Speculation,,,,,
366,Unknown,"Rahima's Mother",,20,Female,Single,Muslim,Speculation,,,,,
368,Unknown,Midwife,,20,Unknown,Single,Unknown,,,,,,
374,Police,Unknown,,156,Unknown,Group,Unknown,,,,,,
399,Unknown,Kammo,,23,Female,Single,Hindu,,,,,,
405,School-children,Unknown,,156,Unknown,Group,Unknown,,,,,,
406,Onlookers,Unknown,,156,Unknown,Group,Unknown,,,,,,
408,"Paid men",Unknown,,156,Male,Group,Unknown,,,,,,
409,Unknown,"Baba Jan",,104,Male,Single,Muslim,"Other-identified.Character other-attributed",,,,,
413,Hasan,Zainab,,104,Female,Single,Muslim,Self-identified,,,,,
416,Hasan,Saira,,86,Female,Single,Muslim,,,,,,
417,"University Authorities",Unknown,,156,Unknown,Group,Unknown,,,,,,
