Event H-ID,Start page event,End page event,Page Event Number,Line,Narrative Status,Conflict,Harmony,Religious Syncretism,Partition,Location of Event (Text place) H-ID,Location of Event RecordTitle,Character(s) mentioned H-ID,Character(s) mentioned RecordTitle
126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",,,,,,128,Sutlej River in Train to Pakistan,,
135,137,137,1,"'We want numbers, only numbers! Why don't you understand?",,,,,TRUE,137,Relief Committee Office in Tamas,,
138,137,137,2,"But Kartar Singh, seated across the table from him",,Religion,,,TRUE,137,Relief Committee Office in Tamas,,
140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',,,,,TRUE,137,Relief Committee Office in Tamas,,
142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",,,,,TRUE,137,Relief Committee Office in Tamas,,
144,139,140,1,Statistics Babu was still standing on the balcony when,,Interpersonal,,,TRUE,137,Relief Committee Office in Tamas,,
145,140,140,1,"The evening before, Dev Dutt had come by",,,,,TRUE,137,Relief Committee Office in Tamas,,
157,76,76,2,The grain market still burned,,,,,,195,Grain Market in Tamas,,
165,27,28,1,The two of them halted their horses,,,,,,176,Top of hill (Alexander valley) in Tamas,,
171,41,41,1,Vanaprasthi began to read the usual mantras,,,,,,200,Congregation in Tamas,,
201,76,76,1,"In the light of day, the city lay still",,,,,,211,THE CITY in Tamas,,
215,76,76,3,"A few milk shops were open here and there, and groups of men stood nearby",,,,,,198,Milk Shops in Tamas,,
226,41,41,2,One could get a taste of Indian culture,,,,,,200,Congregation in Tamas,,
232,30,30,1,Richard and Liza walked through the bungalow’s many rooms,,,,,,235,Richard & Liza's bungalow in Tamas,,
239,31,31,1,"Before sitting down to eat breakfast, Richard stopped",,,,,,235,Richard & Liza's bungalow in Tamas,,
314,156,156,1,THE day after the reception the Viceroy was,,,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
322,1,1,1,The day my Aunt Abida moved from the zenana into the guest room,,,,,,65,Zenana in Sunlight on a Broken Column,,
328,18,18,1,Through the curtained door of the guest room came the sound of voices in argument,,,,,,65,Zenana in Sunlight on a Broken Column,,
333,13,13,1,He had robbed her of her birthright,,Religion,,,,334,Rashida's home in Pinjar,2434|2440,"Sahukar, Pooro's Mother in Pinjar|Sahukar, Pooro's Father in Pinjar"
335,14,14,1,At night she stole the key of the door,,Religion,,,FALSE,334,Rashida's home in Pinjar,297,"Shaikh, Rashida in Pinjar"
336,14,14,2,unlocked the door and stepped out of her prison.,,,,,,334,Rashida's home in Pinjar,,
337,14,14,3,Pooro rattled the chain.,,Religion,,,,338,"Pooro's home, Chatto village in Pinjar",2440|2434,"Sahukar, Pooro's Father in Pinjar|Sahukar, Pooro's Mother in Pinjar"
339,15,15,1,Rashida came running breathlessly towards her.,,,,,,338,"Pooro's home, Chatto village in Pinjar",,
342,15,15,1,Rashida came running breathlessly towards her.,,,,,,338,"Pooro's home, Chatto village in Pinjar",,
345,15,15,2,The third day the Maulvi came with another two or three men.,,,,,,334,Rashida's home in Pinjar,,
346,26,28,1,They were all staring at a smaller group in the foreground.,,,,,,1991,House in Sunlight on a Broken Column,,
350,16,16,1,Rashida packed is odds and ends,,,,,FALSE,334,Rashida's home in Pinjar,,
357,16,16,2,They did not pester her with many questions,,,,,,355,Sakkar village in Pinjar,,
358,16,16,3,The man tattooed on it the new name,,,,,,355,Sakkar village in Pinjar,,
360,17,17,1,He lit the fire in the hearth and put,,,,,,355,Sakkar village in Pinjar,,
361,18,19,1,"it was animated crowd, with groups moving",,,,,,355,Sakkar village in Pinjar,,
365,20,21,1,Rashida sent for Rahima’s mother.,,,,,,355,Sakkar village in Pinjar,,
372,21,21,2,Rashida heard Hamida shriek thrice; then the crying,,,,,,355,Sakkar village in Pinjar,,
385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,,Religion,,,TRUE,334,Rashida's home in Pinjar,445,"Shaikh, Javed in Pinjar"
387,21,21,3,"One full hour later, the midwife came out and said",,,,,FALSE,334,Rashida's home in Pinjar,,
389,22,22,2,Hamida opened her eyes. They seemed to say,,Interpersonal,,,FALSE,334,Rashida's home in Pinjar,,
390,22,22,3,"A strange, strong emotion welled up in Hamida’s bosom.",,Interpersonal,Interpersonal,,FALSE,334,Rashida's home in Pinjar,,
391,22,23,1,The boy tugged at his mother’s breast.,,Interpersonal,Interpersonal,,FALSE,334,Rashida's home in Pinjar,,
396,23,23,2,One morning Hamida went out to the fields,,,,,FALSE,2824,Field in Pinjar,,
398,23,23,3,she came to the well used by the Muslims,,,Religion,,FALSE,397,Well in Pinjar,,
401,23,23,4,"she recognized the girl, Kammo, who lived",,,,,FALSE,397,Well in Pinjar,,
402,23,24,1,Hamida went up to Kammo,,,Gender,,FALSE,397,Well in Pinjar,,
403,24,25,1,"“I can carry the pitcher for you,” said Hamida",,,Gender,,FALSE,2824,Field in Pinjar,,
404,156,156,2,On the day of the Viceroy's arrival the,,,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
407,104,104,1,After the ritual ceremonies on the third day,,,,,,1991,House in Sunlight on a Broken Column,,
411,156,156,3,All morning my uncle was kept busy with,,,,,,370,"Lucknow, India in Sunlight on a Broken Column",,
419,157,158,1,Everything had gone well. Speeches had been made;,,,,,,427,University in Sunlight on a Broken Column,,
420,105,105,1,"""Whatever I am told to. Laila, don't look so solemn",,,,,,1991,House in Sunlight on a Broken Column,,
425,106,106,1,During the rainy season we used to hang,,,,,,1991,House in Sunlight on a Broken Column,,
430,158,159,1,Nita was explosive when we met to discuss,,,,,,427,University in Sunlight on a Broken Column,,
437,25,25,2,Kammo fell on a heap of rubble,,,,,FALSE,2824,Field in Pinjar,,
438,25,25,3,Kammo’s father had taken another woman,,Interpersonal,,,FALSE,355,Sakkar village in Pinjar,,
447,25,25,3,door was pushed open and Kammo burst in,,,,,FALSE,334,Rashida's home in Pinjar,,
449,25,25,4,Hamida again massaged Kammo’s foot,,,Interpersonal,,FALSE,334,Rashida's home in Pinjar,,
450,26,27,1,One early morning Kammo came while,,,,,FALSE,334,Rashida's home in Pinjar,,
451,27,27,2,“My aunt says that if I come to,,Religion,,,TRUE,334,Rashida's home in Pinjar,,
457,27,27,3,Occasionally Hamida called on Rahima’s two wives,,,Interpersonal,,FALSE,458,Rahima's house in Pinjar,,
459,27,28,1,"drawn towards a young, sallow-faced girl",,,Interpersonal,,FALSE,355,Sakkar village in Pinjar,,
460,28,28,2,Then Hamida sent some yarn to the girl’s mother,,,Interpersonal,,FALSE,355,Sakkar village in Pinjar,,
463,28,28,3,Hamida sat down beside her,,,Interpersonal,,FALSE,355,Sakkar village in Pinjar,,
473,29,30,1,When Zahra came to tell me that Aunt Abida had sent for me,,,,,,1991,House in Sunlight on a Broken Column,,
479,30,33,2,In Baba Jan's room the light was blended with shadows,,,,,,1991,House in Sunlight on a Broken Column,,
489,36,38,1,Since Aunt Abida had moved from the zenana,,,,,,1991,House in Sunlight on a Broken Column,,
490,38,42,1,I did not go to my room to pray but to Hakiman Bua,,,,,,1991,House in Sunlight on a Broken Column,,
499,30,31,1,Hamida began to press the girl’s limbs and,,Interpersonal,,,,355,Sakkar village in Pinjar,,
500,31,31,1,Taro had a second ﬁt. Her ﬁsts were,,Religion,,,,355,Sakkar village in Pinjar,,
506,32,32,1,The two played hide-and-seek in the evenings,,,,,,355,Sakkar village in Pinjar,,
511,32,32,2,One day a woman came to their,,,,,,355,Sakkar village in Pinjar,,
512,32,33,3,Suddenly a woman came running down the street,,,,,,355,Sakkar village in Pinjar,,
513,33,33,1,"Before anything could be done to prevent her,",,Interpersonal,,,,355,Sakkar village in Pinjar,,
517,34,34,1,One evening the elders of the Panchayat took,,Interpersonal,,,,355,Sakkar village in Pinjar,,
520,35,35,1,"In the early hours of the morning, while it was still dark,",,,Interpersonal,,,355,Sakkar village in Pinjar,,
522,35,35,2,The news spread in the village like the morning mist.,,,Religion,,,355,Sakkar village in Pinjar,,
523,36,36,1,The women came and blessed Hamida,,,Religion,,,355,Sakkar village in Pinjar,,
524,36,36,2,In the evening Rashida cleansed the glass,,,,,,334,Rashida's home in Pinjar,,
525,36,37,3,Hamida woke up with a start. Her new baby,,,,,,334,Rashida's home in Pinjar,,
526,37,39,1,The Hindus called a meeting to discuss the matter.,,Religion,,,,355,Sakkar village in Pinjar,,
530,40,40,1,One day the Hindu elders of the village sent for Rashida.,,Interpersonal,,,,334,Rashida's home in Pinjar,,
533,40,40,2,A group of Hindu elders lay sprawling on charpoys laid out in a courtyard,,,,,,355,Sakkar village in Pinjar,,
535,41,41,1,My wife has nourished him up with infinite care for six months,,Religion,,,,355,Sakkar village in Pinjar,,
536,42,42,1,The Hindu elders stood up to indicate that the argument was at an end,,Religion,,,,334,Rashida's home in Pinjar,,
538,42,43,2,The water-carrier’s wife took the foundling from Hamida’s arms,,Religion,Interpersonal,,,334,Rashida's home in Pinjar,,
539,43,43,1,the villages could talk of nothing but the fate of the foundling,,,,,,355,Sakkar village in Pinjar,,
541,43,43,2,Hamida beat her head against the wall and shed bitter tears,,,,,,334,Rashida's home in Pinjar,,
542,44,44,1,The next morning three men,,Religion,,,,334,Rashida's home in Pinjar,,
544,45,45,1,A week later the villager saw the foundling,,Religion,,,,334,Rashida's home in Pinjar,,
545,45,45,2,Rahima’s old mother was gradually losing,,,,,,355,Sakkar village in Pinjar,,
548,45,45,3,One day Rahima’s mother came,,Interpersonal,,,,355,Sakkar village in Pinjar,,
