Event H-ID,Start page event,End page event,Page Event Number,Line,Narrative Status,Conflict,Harmony,Religious Syncretism,Partition,Characters(s) in Event H-ID,Characters(s) in Event RecordTitle,Location of Event (Text place) H-ID,Location of Event RecordTitle
126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",,,,,,112|118,"Singh, Juggut in Train to Pakistan|Nooran, Unknown in Train to Pakistan",128,Sutlej River in Train to Pakistan
135,137,137,1,"'We want numbers, only numbers! Why don't you understand?",,,,,TRUE,136,"Relief Committee, Statistics Babu in Tamas",137,Relief Committee Office in Tamas
138,137,137,2,"But Kartar Singh, seated across the table from him",,Religion,,,TRUE,139|136,"Singh, Kartar in Tamas|Relief Committee, Statistics Babu in Tamas",137,Relief Committee Office in Tamas
140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',,,,,TRUE,136|141,"Relief Committee, Statistics Babu in Tamas|Singh, Harnam in Tamas",137,Relief Committee Office in Tamas
142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",,,,,TRUE,136|143,"Relief Committee, Statistics Babu in Tamas|Refugee 1, Unknown in Tamas",137,Relief Committee Office in Tamas
144,139,140,1,Statistics Babu was still standing on the balcony when,,Interpersonal,,,TRUE,136|230,"Relief Committee, Statistics Babu in Tamas|Refugee, Unknown 2 in Tamas",137,Relief Committee Office in Tamas
145,140,140,1,"The evening before, Dev Dutt had come by",,,,,TRUE,136|146,"Relief Committee, Statistics Babu in Tamas|Dutt, Dev in Tamas",137,Relief Committee Office in Tamas
157,76,76,2,The grain market still burned,,,,,,,,195,Grain Market in Tamas
165,27,28,1,The two of them halted their horses,,,,,,167|169,"Deputy Commissioner, Richard in Tamas|Richard's wife, Liza in Tamas",176,Top of hill (Alexander valley) in Tamas
171,41,41,1,Vanaprasthi began to read the usual mantras,,,,,,178,"The Sanskrit-knowing Brahman in the congregation, Vanaprasthi in Tamas",200,Congregation in Tamas
201,76,76,1,"In the light of day, the city lay still",,,,,,,,211,THE CITY in Tamas
215,76,76,3,"A few milk shops were open here and there, and groups of men stood nearby",,,,,,,,198,Milk Shops in Tamas
226,41,41,2,One could get a taste of Indian culture,,,,,,178|238,"The Sanskrit-knowing Brahman in the congregation, Vanaprasthi in Tamas|Congregation, People in Tamas",200,Congregation in Tamas
232,30,30,1,Richard and Liza walked through the bungalow’s many rooms,,,,,,167|169,"Deputy Commissioner, Richard in Tamas|Richard's wife, Liza in Tamas",235,Richard & Liza's bungalow in Tamas
239,31,31,1,"Before sitting down to eat breakfast, Richard stopped",,,,,,167|169,"Deputy Commissioner, Richard in Tamas|Richard's wife, Liza in Tamas",235,Richard & Liza's bungalow in Tamas
314,156,156,1,THE day after the reception the Viceroy was,,,,,,341|318,"Viceroy, Unknown in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column"
322,1,1,1,The day my Aunt Abida moved from the zenana into the guest room,,,,,,315|310,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Syed Mohammad in Sunlight on a Broken Column",65,Zenana in Sunlight on a Broken Column
328,18,18,1,Through the curtained door of the guest room came the sound of voices in argument,,,,,,327|326|315|316|317|318,"Unknown, Mohsin in Sunlight on a Broken Column|Unknown, Musa in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Hasan, Majida in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column",65,Zenana in Sunlight on a Broken Column
333,13,13,1,He had robbed her of her birthright,,Religion,,,,297,"Shaikh, Rashida in Pinjar",334,Rashida's home in Pinjar
335,14,14,1,At night she stole the key of the door,,Religion,,,FALSE,248,"Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
336,14,14,2,unlocked the door and stepped out of her prison.,,,,,,248,"Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
337,14,14,3,Pooro rattled the chain.,,Religion,,,,248,"Sahukars, Pooro in Pinjar",338,"Pooro's home, Chatto village in Pinjar"
339,15,15,1,Rashida came running breathlessly towards her.,,,,,,297,"Shaikh, Rashida in Pinjar",338,"Pooro's home, Chatto village in Pinjar"
342,15,15,1,Rashida came running breathlessly towards her.,,,,,,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",338,"Pooro's home, Chatto village in Pinjar"
345,15,15,2,The third day the Maulvi came with another two or three men.,,,,,,347|248|297,"Unknown, Maulvi in Pinjar|Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar",334,Rashida's home in Pinjar
346,26,28,1,They were all staring at a smaller group in the foreground.,,,,,,343|344,"Unknown, Jumman in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
350,16,16,1,Rashida packed is odds and ends,,,,,FALSE,248|297|353,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Unknown, Rahima in Pinjar",334,Rashida's home in Pinjar
357,16,16,2,They did not pester her with many questions,,,,,,354|248,"Unknown, Women of Rahima's household in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
358,16,16,3,The man tattooed on it the new name,,,,,,248|359,"Sahukars, Pooro in Pinjar|Unknown, Stranger in Pinjar",355,Sakkar village in Pinjar
360,17,17,1,He lit the fire in the hearth and put,,,,,,248|297,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar",355,Sakkar village in Pinjar
361,18,19,1,"it was animated crowd, with groups moving",,,,,,363|248,"Unknown, Baisakh crowd in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
365,20,21,1,Rashida sent for Rahima’s mother.,,,,,,366|368|248,"Unknown, Rahima's Mother in Pinjar|Unknown, Midwife in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
372,21,21,2,Rashida heard Hamida shriek thrice; then the crying,,,,,,297|248|445,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar",355,Sakkar village in Pinjar
385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,,Religion,,,TRUE,248|297,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar",334,Rashida's home in Pinjar
387,21,21,3,"One full hour later, the midwife came out and said",,,,,FALSE,297|368|445,"Shaikh, Rashida in Pinjar|Unknown, Midwife in Pinjar|Shaikh, Javed in Pinjar",334,Rashida's home in Pinjar
389,22,22,2,Hamida opened her eyes. They seemed to say,,Interpersonal,,,FALSE,248,"Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
390,22,22,3,"A strange, strong emotion welled up in Hamida’s bosom.",,Interpersonal,Interpersonal,,FALSE,248|445,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar",334,Rashida's home in Pinjar
391,22,23,1,The boy tugged at his mother’s breast.,,Interpersonal,Interpersonal,,FALSE,248|445,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar",334,Rashida's home in Pinjar
396,23,23,2,One morning Hamida went out to the fields,,,,,FALSE,248,"Sahukars, Pooro in Pinjar",2824,Field in Pinjar
398,23,23,3,she came to the well used by the Muslims,,,Religion,,FALSE,248,"Sahukars, Pooro in Pinjar",397,Well in Pinjar
401,23,23,4,"she recognized the girl, Kammo, who lived",,,,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",397,Well in Pinjar
402,23,24,1,Hamida went up to Kammo,,,Gender,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",397,Well in Pinjar
403,24,25,1,"“I can carry the pitcher for you,” said Hamida",,,Gender,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",2824,Field in Pinjar
404,156,156,2,On the day of the Viceroy's arrival the,,,,,,374|341|405|406|408,"Police, Unknown in Sunlight on a Broken Column|Viceroy, Unknown in Sunlight on a Broken Column|School-children, Unknown in Sunlight on a Broken Column|Onlookers, Unknown in Sunlight on a Broken Column|Paid men, Unknown in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column"
407,104,104,1,After the ritual ceremonies on the third day,,,,,,409,"Unknown, Baba Jan in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
411,156,156,3,All morning my uncle was kept busy with,,,,,,321|417|418,"Hasan, Hamid in Sunlight on a Broken Column|University Authorities, Unknown in Sunlight on a Broken Column|Student-leaders, Unknown in Sunlight on a Broken Column",370,"Lucknow, India in Sunlight on a Broken Column"
419,157,158,1,Everything had gone well. Speeches had been made;,,,,,,341|422|423|374|424|426|318|316|429,"Viceroy, Unknown in Sunlight on a Broken Column|Governor, Unknown in Sunlight on a Broken Column|Professors, Unknown in Sunlight on a Broken Column|Police, Unknown in Sunlight on a Broken Column|Proctors, Unknown in Sunlight on a Broken Column|Students, Unknown in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Majida in Sunlight on a Broken Column|Principal, Unknown in Sunlight on a Broken Column",427,University in Sunlight on a Broken Column
420,105,105,1,"""Whatever I am told to. Laila, don't look so solemn",,,,,,413|318|317,"Hasan, Zainab in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
425,106,106,1,During the rainy season we used to hang,,,,,,317|318|344,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
430,158,159,1,Nita was explosive when we met to discuss,,,,,,431|433|434|317|435,"Chatterjee, Nita in Sunlight on a Broken Column|Waheed, Nadira in Sunlight on a Broken Column|Davis, Joan in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Romana in Sunlight on a Broken Column",427,University in Sunlight on a Broken Column
437,25,25,2,Kammo fell on a heap of rubble,,,,,FALSE,399|248,"Unknown, Kammo in Pinjar|Sahukars, Pooro in Pinjar",2824,Field in Pinjar
438,25,25,3,Kammo’s father had taken another woman,,Interpersonal,,,FALSE,399|439,"Unknown, Kammo in Pinjar|Kammo's Father, Unknown in Pinjar",355,Sakkar village in Pinjar
447,25,25,3,door was pushed open and Kammo burst in,,,,,FALSE,248|399|445,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar|Shaikh, Javed in Pinjar",334,Rashida's home in Pinjar
449,25,25,4,Hamida again massaged Kammo’s foot,,,Interpersonal,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",334,Rashida's home in Pinjar
450,26,27,1,One early morning Kammo came while,,,,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",334,Rashida's home in Pinjar
451,27,27,2,“My aunt says that if I come to,,Religion,,,TRUE,399|443|248,"Unknown, Kammo in Pinjar|Kammo’s Aunt, Unknown in Pinjar|Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
457,27,27,3,Occasionally Hamida called on Rahima’s two wives,,,Interpersonal,,FALSE,248|455,"Sahukars, Pooro in Pinjar|Rahima's Wives, Unknown in Pinjar",458,Rahima's house in Pinjar
459,27,28,1,"drawn towards a young, sallow-faced girl",,,Interpersonal,,FALSE,248|456,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar",355,Sakkar village in Pinjar
460,28,28,2,Then Hamida sent some yarn to the girl’s mother,,,Interpersonal,,FALSE,248|456|461,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,Sakkar village in Pinjar
463,28,28,3,Hamida sat down beside her,,,Interpersonal,,FALSE,248|456,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar",355,Sakkar village in Pinjar
473,29,30,1,When Zahra came to tell me that Aunt Abida had sent for me,,,,,,318|317,"Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
479,30,33,2,In Baba Jan's room the light was blended with shadows,,,,,,310|317|315|318|476,"Hasan, Syed Mohammad in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Ali, Karam in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
489,36,38,1,Since Aunt Abida had moved from the zenana,,,,,,,,1991,House in Sunlight on a Broken Column
490,38,42,1,I did not go to my room to pray but to Hakiman Bua,,,,,,319|317,"Unknown, Hakiman in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
499,30,31,1,Hamida began to press the girl’s limbs and,,Interpersonal,,,,248|456|461,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,Sakkar village in Pinjar
500,31,31,1,Taro had a second ﬁt. Her ﬁsts were,,Religion,,,,456|461,"Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,Sakkar village in Pinjar
506,32,32,1,The two played hide-and-seek in the evenings,,,,,,297|445,"Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar",355,Sakkar village in Pinjar
511,32,32,2,One day a woman came to their,,,,,,248|445,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar",355,Sakkar village in Pinjar
512,32,33,3,Suddenly a woman came running down the street,,,,,,510,"Unkown, mad-woman in Pinjar",355,Sakkar village in Pinjar
513,33,33,1,"Before anything could be done to prevent her,",,Interpersonal,,,,510|509,"Unkown, mad-woman in Pinjar|Unknown, toy-seller in Pinjar",355,Sakkar village in Pinjar
517,34,34,1,One evening the elders of the Panchayat took,,Interpersonal,,,,510|516,"Unkown, mad-woman in Pinjar|Unkown, elders of the Panchayat in Pinjar",355,Sakkar village in Pinjar
520,35,35,1,"In the early hours of the morning, while it was still dark,",,,Interpersonal,,,248|297|510|519,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Unkown, mad-woman in Pinjar|Unknown, mad-woman's child in Pinjar",355,Sakkar village in Pinjar
522,35,35,2,The news spread in the village like the morning mist.,,,Religion,,,248|445|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar",355,Sakkar village in Pinjar
523,36,36,1,The women came and blessed Hamida,,,Religion,,,248|293|516,"Sahukars, Pooro in Pinjar|Village Women, Unkown in Pinjar|Unkown, elders of the Panchayat in Pinjar",355,Sakkar village in Pinjar
