"Character H-ID",s,"Family name","Given name(s)",Nickname,"Page First Mentioned",Gender,Number,Religion,"Religious attribution","Religious conversion",Vitality,"Cause of death",Non-human,"Country of birth","Text H-ID","Text RecordTitle",rec_Title
90,,Ali,Akran,,114,Female,Single,Muslim,"Other-identified.Character other-attributed",,,,,,34,Tamas,"Ali, Akran in Tamas"
91,,Ali,Ramzan,,116,Male,Single,Muslim,Nominal,,,,,,34,Tamas,"Ali, Ramzan in Tamas"
93,,Ali,Rajo,,114,Female,Single,Muslim,Self-identified,,,,,,34,Tamas,"Ali, Rajo in Tamas"
96,,Ali,Ehsan,,116,Male,Single,Muslim,Nominal,,,,,,34,Tamas,"Ali, Ehsan in Tamas"
110,,Lal,"Lala Ram",,7,Male,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,,28,"Train to Pakistan","Lal, Lala Ram in Train to Pakistan"
112,,Singh,Juggut,,9,Male,Single,Sikh,Speculation,,,,,,28,"Train to Pakistan","Singh, Juggut in Train to Pakistan"
118,,Nooran,Unknown,,9,Female,Single,Muslim,"Other-identified.Character other-attributed",,,,,,28,"Train to Pakistan","Nooran, Unknown in Train to Pakistan"
120,,Chand,Hukum,,15,Male,Single,Hindu,Speculation,,,,,,28,"Train to Pakistan","Chand, Hukum in Train to Pakistan"
122,,Singh,Alam,,17,Male,Single,Sikh,Nominal,,,,,,28,"Train to Pakistan","Singh, Alam in Train to Pakistan"
129,,Malli,Unknown,,13,Male,Single,Sikh,,,,,,,28,"Train to Pakistan","Malli, Unknown in Train to Pakistan"
130,,Labhram,Hakim,,58,Male,Single,Muslim,Nominal,,,,,,34,Tamas,"Labhram, Hakim in Tamas"
132,,Ram,Sant,,58,Male,Single,Hindu,Nominal,,,,,,34,Tamas,"Ram, Sant in Tamas"
133,,Bakhsh,Khuda,,58,Male,Single,Muslim,Nominal,,,,,,34,Tamas,"Bakhsh, Khuda in Tamas"
134,,"Perfume Seller",Ibrahim,,58,Male,Single,Muslim,Nominal,,,,,,34,Tamas,"Perfume Seller, Ibrahim in Tamas"
136,,"Relief Committee","Statistics Babu",,137,Male,Single,Hindu,Speculation,,,,,,34,Tamas,"Relief Committee, Statistics Babu in Tamas"
139,,Singh,Kartar,,137,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Singh, Kartar in Tamas"
141,,Singh,Harnam,,99,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Singh, Harnam in Tamas"
143,,"Refugee 1",Unknown,,138,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Refugee 1, Unknown in Tamas"
146,,Dutt,Dev,,140,Male,Single,Hindu,Nominal,,,,,,34,Tamas,"Dutt, Dev in Tamas"
148,,Singh,Teja,,125,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Singh, Teja in Tamas"
149,,Sikh,Nihang,,125,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Sikh, Nihang in Tamas"
150,,Singh,Sohan,,108,Male,Single,Sikh,Nominal,,,,,,34,Tamas,"Singh, Sohan in Tamas"
