"Location H-ID","Primary place name","Alternative Name","Locality name","Location Country","Short description","Location (mappable)","Locational certainty",Geometry,"Administrative area"
22,"Lucknow University",,,India,"Lucknow in UP","POINT(80.936033 26.863315)","1. High confidence",Point,"7 Metropolitan Area"
27,Hadali,,,Pakistan,"Hadali, Punjab, Pakistan","POINT(72.192222 32.292222)","1. High confidence",Point,
33,Rawalpindi,"Teli Mohalla RdWaris Khan Rawalpindi",,Pakistan,"Rawalpindi, colloquially known as Pindi, is the capital city of the Rawalpindi Division located in the Punjab province of Pakistan","POINT(73.062762 33.616531)","1. High confidence",Point,"7 Metropolitan Area"
36,"Mandi Bahauddin",,,Pakistan,"Mandi Bahauddin, Punjab","POINT(73.483129 32.574158)","1. High confidence",,
119,"Mano Majra",,,India,"A fictional town on the border of India and Pakistan",,"2. Probable location",Area,"10 Village/Civic Ward"
249,"Chatto Village",,,Pakistan,"The neighbouring village as mentioned in the novel is Rattoval which is more easily accessible and locatable on map.","POINT(73.48335 32.574375)","2. Probable location",,"8 Municipal Corporation / Municipality / City Council"
281,"Rattoval Village",,,Pakistan,"Neighboring village to Chatto Village","POINT(75.67175 30.745563)","2. Probable location",Area,"8 Municipal Corporation / Municipality / City Council"
865,Rajpura,,,India,,"POINT(76.590672 30.480929)","1. High confidence",Area,"6 Subdistrict (Tehsil / Mandal / Taluk)"
870,"Masjid Sherwanikot",,,India,"Masjid in Kelon, Punjab","POINT(75.849481 30.52652)","1. High confidence",Point,
871,"Harnam Singh Wala Village",,,India,,"POINT(75.234568 30.368765)","1. High confidence",Area,"10 Village/Civic Ward"
872,"Raja Bazaar","Raja Bazar",,Pakistan,,"POINT(73.052763 33.614181)","1. High confidence",Area,
873,Mirpur,,,Pakistan,,"POINT(73.742466 33.148331)","1. High confidence",Area,"7 Metropolitan Area"
874,"Jama Masjid",,,India,"Not to be confused with the Jama Masjid in Delhi","POINT(75.854148 30.907997)","1. High confidence",,
875,Khanpur,,,India,,"POINT(75.903597 30.799396)","1. High confidence",Area,
879,"Imam Din Gali",,,India,,"POINT(72.664218 32.086592)","1. High confidence",Area,
1015,terrace,,,Pakistan,"Laila's terrace",,"1. High confidence",,
1065,"Shivala Bazaar",,,India,,"POINT(82.114869 26.737423)","1. High confidence",Point,"4 State"
1295,"Cambridge University",,,UK,"A university area.","POINT(0.11452 52.204346)","1. High confidence",,
1298,Mecca,Makkah,,"Saudi Arabia","Holy Place","POINT(39.82438 21.426568)","1. High confidence",Point,"4 State"
1348,Lahore,,,Pakistan,"Mentioned as end point of train journey","POINT(74.314957 31.504215)","1. High confidence",Area,"7 Metropolitan Area"
1350,Mumbai,Bombay,,India,,"POINT(72.8936 19.111434)","1. High confidence",Area,"7 Metropolitan Area"
1353,"Madras Presidency",,,India,"I have marked the pre-partition madras state, not chennai.","POINT(79.387207 13.068777)","1. High confidence",,
1453,Hasanpur,,,India,,"POINT(78.284626 28.723749)","1. High confidence",,
1527,Muridpur,,,India,,"POINT(79.957745 26.33222)","1. High confidence",,
1529,"Kutub Din",,,India,,"POINT(74.797373 34.083663)","1. High confidence",,
1553,Kahuta,,,Pakistan,,"POINT(73.388664 33.589205)","1. High confidence",,
1734,Home,Baradari,,India,"Laila is at home",,"1. High confidence",,
1879,Ridge,,,India,,,"1. High confidence",,
1881,"Railway Crossing",,,India,,,"1. High confidence",,
2552,"Sakar Village",sukkur,,Pakistan,"Paroo is abducted to this village","POINT(73.542766 32.543265)","3. Conjectural",Point,"10 Village/Civic Ward"
2580,"Bara Bazaar",,,India,"Bazaar in Tamas","POINT(88.354408 22.581703)","1. High confidence",Point,"7 Metropolitan Area"
2608,"Bhimnagar Palace",,,India,"Sunlight in a Broken Column","POINT(86.961266 26.513774)","1. High confidence",Point,"3 Division"
2609,Shimla,,,India,,"POINT(77.166424 31.096307)","1. High confidence",,
2612,England,,,UK,,"POINT(-0.834961 52.362183)","1. High confidence",,
2622,London,,,UK,,"POINT(-0.122223 51.506178)","1. High confidence",,
2625,Kolkata,Calcutta,,India,,"POINT(88.37265 22.69512)","1. High confidence",,
2686,"Ganj Mandi",,,Pakistan,,"POINT(73.052068 33.614914)","1. High confidence",,
2790,"Lala -Musa",,,Pakistan,,,"1. High confidence",,
2802,"Golra Sharif",,,Pakistan,,"POINT(72.977071 33.693923)","1. High confidence",,
2973,"River Ravi",,,Pakistan,,,"1. High confidence",,
2991,"Hindu Kush","Alexander Valley",,Pakistan,,"POINT(73.278809 36.897194)","2. Probable location",,
2993,India,,,India,,"POINT(78.96288 20.593684)","1. High confidence",Area,
3024,"Refugee encampment outside chattowal",,,India,,"POINT(75.683658 31.72678)","1. High confidence",Area,"10 Village/Civic Ward"
3061,"Sadar Bazar",,,Pakistan,"within Rawalpindi","POINT(73.052902 33.596855)","1. High confidence",,
