"Text H-ID","Text title","Original publication year","Author(s) > H-ID","Author(s) > RecordTitle",s
25,"Sunlight on a Broken Column",1961,21,"Hosain, Attia",
28,"Train to Pakistan",1956,26,"Singh, Kushwant",
34,Tamas,1974,32,"Sahni, Bhisham",
37,Pinjar,1950,35,"Pritam, Amrita",
3170,"A New Taj Mahal",,3152,"Sarna, Mohinder Singh",
3177,"A Village called Laddewala Varaich",,3152,"Sarna, Mohinder Singh",
3180,"The Woman in the Red Raincoat",1997,3156,"Manto, Saadat Hasan",
3205,"Colder Than Ice",,3156,"Manto, Saadat Hasan",
3206,"Savage Harvest",,3152,"Sarna, Mohinder Singh",
3212,"Toba Tek Singh",1955,3156,"Manto, Saadat Hasan",
3231,"The Return",1997,3156,"Manto, Saadat Hasan",
3238,"The Assignment",1953,3156,"Manto, Saadat Hasan",
3251,"Basant The Fool",,3152,"Sarna, Mohinder Singh",
3281,"Jathedar Mukand Singh",,3152,"Sarna, Mohinder Singh",
3292,"The Dog of Titwal",1997,3156,"Manto, Saadat Hasan",
3298,..,1955,3156,"Manto, Saadat Hasan",
3384,"The Dutiful Daughter",1997,3156,"Manto, Saadat Hasan",
3421,"The Price of Freedom",1997,3156,"Manto, Saadat Hasan",
3574,Mozail,,3156,"Manto, Saadat Hasan",
3584,"Gul Mohammad Third-Timer",,3152,"Sarna, Mohinder Singh",
3716,"The Last Salute",1951,3156,"Manto, Saadat Hasan",
3855,Gondlanwala,,3152,"Sarna, Mohinder Singh",
3938,"The Crimson Tonga",,3152,"Sarna, Mohinder Singh",
3966,"Proper Use",1997,3156,"Manto, Saadat Hasan",
3979,"Sweet Moment",,3156,"Manto, Saadat Hasan",
3990,"FOR NECESSARY ACTION",1997,3156,"Manto, Saadat Hasan",
4002,"The Butcher",,3152,"Sarna, Mohinder Singh",
4042,"Ek Onkar Satnam - 1935",,3152,"Sarna, Mohinder Singh",
4048,Sympathy,,3152,"Sarna, Mohinder Singh",
4080,"A Tale of 1947",1997,3156,"Manto, Saadat Hasan",
4142,Wages,1997,3156,"Manto, Saadat Hasan",
4204,"Jinnah Sahib",1997,3156,"Manto, Saadat Hasan",
4281,"The New Constitution",,3156,"Manto, Saadat Hasan",
4364,"From Khanni to Bhikhi",,3152,"Sarna, Mohinder Singh",
4368,"A Girl from Delhi",,3156,"Manto, Saadat Hasan",
4381,Sikhism,,3152,"Sarna, Mohinder Singh",
4443,Cooperation,,3156,"Manto, Saadat Hasan",
4469,Division,,3156,"Manto, Saadat Hasan",
4525,"The Great Divide",1997,3156,"Manto, Saadat Hasan",
4644,"Three Simple Statements",1970,3156,"Manto, Saadat Hasan",
4746,"Of One Community",,3152,"Sarna, Mohinder Singh",
4807,"The Parade",,3152,"Sarna, Mohinder Singh",
4882,"A Woman's Integrity",,3152,"Sarna, Mohinder Singh",
4988,"Bitter Harvest",1997,3156,"Manto, Saadat Hasan",
4989,"A Believer’s Version",1997,3156,"Manto, Saadat Hasan",
4990,"The Benefits of Ignorance",1997,3156,"Manto, Saadat Hasan",
5046,Crusader,,3152,"Sarna, Mohinder Singh",
5304,"The Minor Gandhis",,3152,"Sarna, Mohinder Singh",
5357,Azaan,,3152,"Sarna, Mohinder Singh",
5466,Rumour,,3152,"Sarna, Mohinder Singh",
